All OJ,Problem Title,CP4+5,Hint,DACU,Point,Solved
outofsorts,outofsorts,"3.3a, Binary Search",do O(log n) binary searches on unsorted array n times,107,3.7,false
roompainting,roompainting,"3.3a, Binary Search",sort the cans at shop (can be used more than once); use lower_bound for what Joe needs at shop,416,3.8,false
12190,Fetching from uHunt,"3.3b, Bisection and BSTA, E",BSTA + algebra,,0.0,false
13142,Fetching from uHunt,"3.3b, Bisection and BSTA, E",BSTA + Physics simulation,,0.0,false
carefulascent,carefulascent,"3.3b, Bisection and BSTA, E",BSTA + Physics simulation,558,1.8,false
freeweights,freeweights,"3.3b, Bisection and BSTA, E",BSTA + simulation; Mathematical observation,356,4.5,false
lc0875,to replace with LeetCode link soon...,"3.3b, Bisection and BSTA, E",BSTA + simulation check; leetcode-75,0,4.0,false
monk,monk,"3.3b, Bisection and BSTA, E",BSTA + simulation; cool,86,3.3,false
suspensionbridges,suspensionbridges,"3.3b, Bisection and BSTA, E",BSTA + Maths; be careful of precision error,409,4.6,false
00183,Fetching from uHunt,"3.3c, Ternary Search & Others",simple exercise of DnC,,0.0,false
10385,Fetching from uHunt,"3.3c, Ternary Search & Others",the function is unimodal; ternary search,,0.0,false
12893,Fetching from uHunt,"3.3c, Ternary Search & Others",convert the given code into recursive DnC,,0.0,false
a1paper,a1paper,"3.3c, Ternary Search & Others",division of A1 paper is a kind of DnC principle,1212,3.9,false
ceiling,ceiling,"3.3c, Ternary Search & Others",LA 7578 - WorldFinals Phuket16; BST insertion then tree equality check; also available at UVa 01738 - Ceiling Function,1871,1.9,false
goingtoseed,goingtoseed,"3.3c, Ternary Search & Others",divide to search into four regions; extension of binary/ternary search concept,199,6.3,false
lc2293,to replace with LeetCode link soon...,"3.3c, Ternary Search & Others",simulate the game; n halves each level,0,2.0,false
01193,Fetching from uHunt,"3.4a, Greedy (Classical)",LA 2519 - Beijing02; interval covering,,0.0,false
10020,Fetching from uHunt,"3.4a, Greedy (Classical)",interval covering,,0.0,false
11264,Fetching from uHunt,"3.4a, Greedy (Classical)",coin change variant,,0.0,false
classrooms,classrooms,"3.4a, Greedy (Classical)",variant of interval covering; multiple rooms,229,5.9,false
froshweek2,froshweek2,"3.4a, Greedy (Classical)",greedy; sort first; similar to Dragon of Loowater; greedy matching,489,2.3,false
lc0455,to replace with LeetCode link soon...,"3.4a, Greedy (Classical)",sort; greedy bipartite matching,0,2.0,false
squarepegs,squarepegs,"3.4a, Greedy (Classical)",convert square to circular; sort; greedy matching,265,3.1,false
11369,Fetching from uHunt,"3.4b, Involving Sorting, E",greedy; sorting,,0.0,false
11900,Fetching from uHunt,"3.4b, Involving Sorting, E",greedy; sorting,,0.0,false
13109,Fetching from uHunt,"3.4b, Involving Sorting, E",greedy; sorting,,0.0,false
icpcteamselection,icpcteamselection,"3.4b, Involving Sorting, E",greedy; sorting,586,3.0,false
lc1913,to replace with LeetCode link soon...,"3.4b, Involving Sorting, E",sort; use the last and first two,0,2.0,false
minimumscalar,minimumscalar,"3.4b, Involving Sorting, E",one sort increasing; one sort decreasing,1202,2.3,false
shopaholic,shopaholic,"3.4b, Involving Sorting, E","sort prices in descending order, pick every third item",959,2.4,false
lc0435,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M",sort by non-decreasing endpoints; greedy; leetcode-75,0,4.0,false
lc0452,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M",sort by non-decreasing endpoints; greedy; leetcode-75; top-interview-150,0,4.0,false
lc0881,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M",sort people by non-dec weights; two pointers: lightest+heaviest; greedy,0,4.0,false
lc1090,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M",sort by non-increasing values,0,4.0,false
lc1282,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M","sort by non-decreasing size, keep the original indices",0,4.0,false
lc2895,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M",sort tasks by non-increasing order and processor time by non-decreasing order,0,4.0,false
lc3301,to replace with LeetCode link soon...,"3.4c, Involving Sorting, M",sort by non-increasing maximum height,0,4.0,false
12673,Fetching from uHunt,"3.4d, Involving Sorting, H",LA 6530 - LatinAmerica13; greedy; sorting,,0.0,false
12834,Fetching from uHunt,"3.4d, Involving Sorting, H",greedy; sorting,,0.0,false
13054,Fetching from uHunt,"3.4d, Involving Sorting, H",greedy; sorting,,0.0,false
airconditioned,airconditioned,"3.4d, Involving Sorting, H",greedy; sorting,1116,3.9,false
birds,birds,"3.4d, Involving Sorting, H",greedy; sorting,566,3.5,false
delivery,delivery,"3.4d, Involving Sorting, H","sort, process positive and negative delivery separately; go to rightmost, come back and fill as many from the right",253,3.3,false
lc0055,to replace with LeetCode link soon...,"3.4d, Involving Sorting, H","for each reachable i, greedily extend the furthest jump, if we can; top-100-liked; top-interview-150",0,4.0,false
01153,Fetching from uHunt,"3.4e, Involving PQ",greedy; priority queue,,0.0,false
13177,Fetching from uHunt,"3.4e, Involving PQ",greedy; priority queue,,0.0,false
ballotboxes,ballotboxes,"3.4e, Involving PQ",greedy; priority queue,776,4.4,false
canvas,canvas,"3.4e, Involving PQ",PQ simulation; process from N canvases to 1 all-white canvas; take two minimum canvas size; greedy; add them and re-enqu...,214,3.5,false
lc2542,to replace with LeetCode link soon...,"3.4e, Involving PQ","sort (nums2[i], nums1[i]) by non-increasing nums2; maintain min PQ of nums1; keep largest k; leetcode-75",0,4.0,false
vegetables,vegetables,"3.4e, Involving PQ","store cut lengths as fractions; keep taking the largest portion; greedy; try to cut 1/2,1/3,1/4,etc; re-enqueue the resu...",347,3.4,false
workstations,workstations,"3.4e, Involving PQ",greedy; priority queue,1110,3.6,false
10656,Fetching from uHunt,"3.4f, Non-Classical, Easier",greedy,,0.0,false
11520,Fetching from uHunt,"3.4f, Non-Classical, Easier",greedy,,0.0,false
12482,Fetching from uHunt,"3.4f, Non-Classical, Easier",greedy,,0.0,false
ants,ants,"3.4f, Non-Classical, Easier",greedy; also available at UVa 10714 - Ants,1145,2.5,false
bank,bank,"3.4f, Non-Classical, Easier",greedy,2389,2.6,false
lc0860,to replace with LeetCode link soon...,"3.4f, Non-Classical, Easier",use 10+5 before 5+5+5; programming-skills,0,2.0,false
marblestree,marblestree,"3.4f, Non-Classical, Easier",greedy; also available at UVa 10672 - Marbles on a tree,258,3.0,false
10821,Fetching from uHunt,"3.4g, Non-Classical, Harder",greedy,,0.0,false
11491,Fetching from uHunt,"3.4g, Non-Classical, Harder",greedy,,0.0,false
11583,Fetching from uHunt,"3.4g, Non-Classical, Harder",greedy,,0.0,false
11890,Fetching from uHunt,"3.4g, Non-Classical, Harder",greedy,,0.0,false
dvds,dvds,"3.4g, Non-Classical, Harder",greedy,731,2.9,false
lc0763,to replace with LeetCode link soon...,"3.4g, Non-Classical, Harder",DAT last occurence of ('a'..'z'); one-pass greedy solution is possible; top-100-liked,0,4.0,false
stockbroker,stockbroker,"3.4g, Non-Classical, Harder",greedy,578,3.4,false
virus,virus,"3.4g, Non-Classical, Harder",greedy,753,3.6,false
10684,Fetching from uHunt,"3.5a, 1D Range Sum",standard; Kadane's algorithm,,0.0,true
commercials,commercials,"3.5a, 1D Range Sum",transform each input by -P; Kadane's algorithm,1570,2.0,true
lc0053,to replace with LeetCode link soon...,"3.5a, 1D Range Sum",Kadane's; special case for all negatives; top-100-liked; top-interview-150,0,4.0,false
sellingspatulas,sellingspatulas,"3.5a, 1D Range Sum",-8 per time slot initially; read sale data; 1D range sum; complete search,109,8.0,false
shortsell,shortsell,"3.5a, 1D Range Sum",similar to Kadane's algorithm; linear pass; prefix sum,104,4.1,true
01105,Fetching from uHunt,"3.5b, 2D Range Sum",LA 5132 - WorldFinals Orlando11; more advanced 2D Range Sum Queries,,0.0,false
10755,Fetching from uHunt,"3.5b, 2D Range Sum",max 2D range sum in 2 of the 3 dimensions; max 1D range sum with Kadane's algorithm on the 3rd dimension,,0.0,false
lc0085,to replace with LeetCode link soon...,"3.5b, 2D Range Sum","after penalising the 0s heavily, this is just max 2D range sum",0,6.0,false
prozor,prozor,"3.5b, 2D Range Sum",2D range sum with fix range; output formatting,558,1.6,false
00481,Fetching from uHunt,"3.5c, LIS",O(n log k) LIS+solution,,0.0,false
01196,Fetching from uHunt,"3.5c, LIS",LA 2815 - Kaohsiung03; sort all the blocks in increasing L[i]; then we get the classical LIS problem,,0.0,false
11790,Fetching from uHunt,"3.5c, LIS",combination of LIS LDS; weighted,,0.0,false
increasingsubsequence,increasingsubsequence,"3.5c, LIS","LIS; n ≤ 200$; print lexicographically smallest solution, 99% similar to 'longincsubseq'",352,4.1,false
lc0334,to replace with LeetCode link soon...,"3.5c, LIS",LIS problem with a very small tweak; leetcode-75,0,4.0,false
nesteddolls,nesteddolls,"3.5c, LIS",sort in one dimension; Dilworth's theorem; LIS in the other; also available at UVa 11368 - Nested Dolls,115,7.1,false
trainsorting,trainsorting,"3.5c, LIS","max(LIS(i)+LDS(i)-1), ∀i ∈ [0...n-1]; also available at UVa 11456",522,5.4,false
01213,Fetching from uHunt,"3.5d, 0-1 KNAPSACK/SS","LA 3619 - Yokohama06; extension of 0-1 KNAPSACK; s: (id, remN, remK) instead of s: (id, remN)",,0.0,false
10130,Fetching from uHunt,"3.5d, 0-1 KNAPSACK/SS",basic 0-1 Knapsack problem,,0.0,false
11832,Fetching from uHunt,"3.5d, 0-1 KNAPSACK/SS",interesting DP; s: (id; val); use offset to handle negative numbers; t: plus or minus; print solution,,0.0,false
knapsack,knapsack,"3.5d, 0-1 KNAPSACK/SS",basic DP KNAPSACK; print the solution,687,4.8,false
lc0474,to replace with LeetCode link soon...,"3.5d, 0-1 KNAPSACK/SS",Knapsack; skip or take a string,0,4.0,false
orders,orders,"3.5d, 0-1 KNAPSACK/SS",interesting KNAPSACK variant; print the solution,713,4.5,false
presidentialelections,presidentialelections,"3.5d, 0-1 KNAPSACK/SS",pre-process the input to discard non winnable states; be careful of negative total voters; then standard DP KNAPSACK,116,5.7,false
00242,Fetching from uHunt,"3.5e, COIN-CHANGE",LA 5181 - WorldFinals Nashville95; Complete Search + DP Coin-Change,,0.0,false
00674,Fetching from uHunt,"3.5e, COIN-CHANGE",basic coin change problem,,0.0,false
11259,Fetching from uHunt,"3.5e, COIN-CHANGE",part of the problem is DP COIN-CHANGE with restricted number of coins per type; inclusion-exclusion,,0.0,false
bagoftiles,bagoftiles,"3.5e, COIN-CHANGE",count number of ways to do COIN-CHANGE; meet in the middle; DP combinatorics (n choose k) to find the answer for a+b,102,6.5,false
canonical,canonical,"3.5e, COIN-CHANGE",complete search possible range of counter examples; do both greedy COIN-CHANGE and DP COIN-CHANGE,502,5.7,false
exactchange2,exactchange2,"3.5e, COIN-CHANGE",a variation to the Coin-Change problem; also available at UVa 11517 - Exact Change,708,5.4,false
lc0322,to replace with LeetCode link soon...,"3.5e, COIN-CHANGE",COIN-CHANGE; top-100-liked; top-interview-150,0,4.0,false
00216,Fetching from uHunt,"3.5f, TSP",LA 5155 - WorldFinals KansasCity92; DP TSP problem; but still solvable with backtracking,,0.0,false
11795,Fetching from uHunt,"3.5f, TSP",DP TSP variant; counting paths on DAG; DP+bitmask; let Mega Buster owned by a dummy 'Robot 0',,0.0,false
12841,Fetching from uHunt,"3.5f, TSP",simply find and print the lexicographically smallest Hamiltonian path; use DP-TSP technique,,0.0,false
beepers,beepers,"3.5f, TSP",DP or recursive backtracking with sufficient pruning; also available at UVa 10496 - Collecting Beepers,196,4.6,false
bustour,bustour,"3.5f, TSP",LA 6028 - WorldFinals Warsaw12; DP TSP variant; also available at UVa 01281 - Bus Tour,124,6.1,false
cycleseasy,cycleseasy,"3.5f, TSP",Count number of HAMILTONIAN-TOURs,108,4.1,false
errands,errands,"3.5f, TSP",map location names to integer indices; DP TSP,51,7.0,false
01261,Fetching from uHunt,"3.5g, Non-Classical, 1D, E",LA 4844 - Daejeon10; backtracking possible; but we use a set<string> to prevent recomputation,,0.0,false
11420,Fetching from uHunt,"3.5g, Non-Classical, 1D, E",s: (prev; id; numlck); lock/unlock this chest,,0.0,false
12654,Fetching from uHunt,"3.5g, Non-Classical, 1D, E",s: (hole); t: use patch T1 or patch T2,,0.0,false
lc0746,to replace with LeetCode link soon...,"3.5g, Non-Classical, 1D, E",s: (i); t: to (i+1) or (i+2); Fibonacci variant; leetcode-75,0,2.0,false
10003,Fetching from uHunt,"3.5h, Non-Classical, 2D, E",discussed in this section,,0.0,false
11450,Fetching from uHunt,"3.5h, Non-Classical, 2D, E",discussed in this section,,0.0,false
13141,Fetching from uHunt,"3.5h, Non-Classical, 2D, E","s: (level, branch_previously); t: not branching if branch_previously or branching (one side) otherwise",,0.0,false
nikola,nikola,"3.5h, Non-Classical, 2D, E","s: (pos, last_jump); t: jump forward or backward",295,3.6,false
spiderman,spiderman,"3.5h, Non-Classical, 2D, E",simple DP; go up or down; print solution,1010,3.9,false
ticketpricing,ticketpricing,"3.5h, Non-Classical, 2D, E",LA 6867 - Rocky Mountain15; similar with UVa 11450 discussed in this book; real life problem; print (the first) part of ...,138,4.9,false
12324,Fetching from uHunt,"3.5i, DP level 2",spheres > n are useless,,0.0,false
12862,Fetching from uHunt,"3.5i, DP level 2",1D DP to compute the path cost from every vertex that goes up to the mountain top; compute answer,,0.0,false
12955,Fetching from uHunt,"3.5i, DP level 2","there are only 8 eligible factorials under 100000; we can use DP; s: (i, sum); t: take/stay, take/move, don't take/move",,0.0,false
kutevi,kutevi,"3.5i, DP level 2",s: (360 integer degrees),170,2.6,false
lc0714,to replace with LeetCode link soon...,"3.5i, DP level 2","s: (own, i); t: skip day i or sell if own/buy if not; leetcode-75",0,4.0,false
tight,tight,"3.5i, DP level 2","s: (i, j); #tight words of length i that end in digit j divided by #words: (k+1)^n; also available at UVa 10081 - Tight ...",100,3.5,false
walrusweights,walrusweights,"3.5i, DP level 2",backtracking with memoization,570,3.8,false
11749,Fetching from uHunt,"4.2a, Finding CCs",find the largest CC with highest average PPA; also solvable with UFDS,,0.0,false
11906,Fetching from uHunt,"4.2a, Finding CCs",DFS/BFS for reachability; several tricky cases; be careful when M = 0; N = 0; or M = N,,0.0,false
lc0547,to replace with LeetCode link soon...,"4.2a, Finding CCs",count number of CCs; leetcode-75,0,4.0,false
reachableroads,reachableroads,"4.2a, Finding CCs",report number of CC-1,892,2.1,true
securitybadge,securitybadge,"4.2a, Finding CCs",reachability test; clever idea to compress ids,129,7.6,false
terraces,terraces,"4.2a, Finding CCs","group cells with similar height together; if it cannot flow to any other component with lower height, add the size of th...",339,3.6,false
wheresmyinternet,wheresmyinternet,"4.2a, Finding CCs",check connectivity to vertex 1,1716,3.7,true
00352,Fetching from uHunt,"4.2b, Flood Fill, Easier",count number of CCs; see UVa 00572,,0.0,true
11953,Fetching from uHunt,"4.2b, Flood Fill, Easier",interesting twist of flood fill problem,,0.0,false
amoebas,amoebas,"4.2b, Flood Fill, Easier",easy floodfill,1079,1.8,true
countingstars,countingstars,"4.2b, Flood Fill, Easier",basic flood fill problem; count CCs,1494,2.7,true
fontan,fontan,"4.2b, Flood Fill, Easier",modified multi-sources BFS/floodfill,866,2.0,false
gold,gold,"4.2b, Flood Fill, Easier",flood fill with extra blocking constraint; also available at UVa 11561 - Getting Gold,735,2.2,false
lc0733,to replace with LeetCode link soon...,"4.2b, Flood Fill, Easier",basic flood fill problem,0,2.0,false
01103,Fetching from uHunt,"4.2c, Flood Fill, Harder",LA 5130 - WorldFinals Orlando11; major hint: each hieroglyph has unique number of white CCs,,0.0,false
10kindsofpeople,10kindsofpeople,"4.2c, Flood Fill, Harder",intelligent flood fill; just run once to avoid TLE as there are many queries,2380,3.9,true
11585,Fetching from uHunt,"4.2c, Flood Fill, Harder",polynomial-time verifier for an NP-complete puzzle Nurikabe; this verifier requires clever usage of flood fill algorithm,,0.0,false
coast,coast,"4.2c, Flood Fill, Harder",intelligent flood fill; just run once to avoid TLE as there are many queries,1339,3.2,false
islands3,islands3,"4.2c, Flood Fill, Harder",optimistic flood fill; assume all Cs are Ls,936,2.1,true
lc1254,to replace with LeetCode link soon...,"4.2c, Flood Fill, Harder",flood fill; avoiding borders,0,4.0,false
00872,Fetching from uHunt,"4.2d, Topological Sort",similar to UVa 00124; use backtracking,,0.0,false
11060,Fetching from uHunt,"4.2d, Topological Sort",Kahn's algorithm---modified BFS toposort,,0.0,false
brexit,brexit,"4.2d, Topological Sort",toposort; chain reaction; modified Kahn's algorithm,826,3.6,false
builddeps,builddeps,"4.2d, Topological Sort",the graph is acyclic; toposort with DFS from the changed file,626,4.7,true
conservation,conservation,"4.2d, Topological Sort",modified Kahn's algorithm; greedily process all steps in a certain lab before alternating to the other lab,133,4.2,false
lc0210,to replace with LeetCode link soon...,"4.2d, Topological Sort",cycle check; compute toposort if acyclic; top-interview-150,0,4.0,false
pickupsticks,pickupsticks,"4.2d, Topological Sort",cycle check + toposort if DAG; also available at item UVa 11686 - Pick up sticks,373,4.7,true
10116,Fetching from uHunt,"4.2e, Graph Properties Check",traversal on implicit graph; cycle check,,0.0,false
10505,Fetching from uHunt,"4.2e, Graph Properties Check",bipartite; take max(left; right),,0.0,false
hoppers,hoppers,"4.2e, Graph Properties Check",the answer is number of CC-1 if there is at least one non-bipartite component in the graph; or number of CC otherwise,234,3.9,false
lc0207,to replace with LeetCode link soon...,"4.2e, Graph Properties Check",is the directed graph acyclic?; top-100-liked; top-interview-150,0,4.0,false
molekule,molekule,"4.2e, Graph Properties Check",undirected tree is also Bipartite/bi-colorable; bi-color it with 0 and 1; direct all edges from 0 to 1 (or vice versa),175,3.5,false
runningmom,runningmom,"4.2e, Graph Properties Check",find a cycle in a directed graph,591,3.8,false
torn2pieces,torn2pieces,"4.2e, Graph Properties Check",construct graph from strings; traversal from source to target; reachability check; print path,1115,3.6,false
10765,Fetching from uHunt,"4.2f, Cut Vertices/Bridges",finding articulation points,,0.0,false
12363,Fetching from uHunt,"4.2f, Cut Vertices/Bridges",LA 5796 - Latin America; transform input to graph of its bridges; see if b is reachable from a with only the bridges,,0.0,false
12783,Fetching from uHunt,"4.2f, Cut Vertices/Bridges",finding bridges,,0.0,false
birthday,birthday,"4.2f, Cut Vertices/Bridges",check if the input graph contains any bridge; N is small though so weaker solution can still be accepted,323,4.3,false
caveexploration,caveexploration,"4.2f, Cut Vertices/Bridges",find size of bi-connected components that contains vertex 0; identify the bridges,848,3.3,false
gymleadersterritory,gymleadersterritory,"4.2f, Cut Vertices/Bridges","if all edges connected to vertex k are bridges, then `YES`; otherwise `NO`",165,3.5,false
intercept,intercept,"4.2f, Cut Vertices/Bridges",Articulation Points in SSSP Spanning DAG; clever modification of Dijkstra's,112,6.6,false
00247,Fetching from uHunt,"4.2g, Finding SCCs",SCC + printing solution,,0.0,false
11709,Fetching from uHunt,"4.2g, Finding SCCs",find the number of SCCs,,0.0,false
11770,Fetching from uHunt,"4.2g, Finding SCCs",similar to UVa 11504,,0.0,false
cantinaofbabel,cantinaofbabel,"4.2g, Finding SCCs",build directed graph 'can_speak'; compute the largest SCC of 'can_speak'; keep this largest SCC,1294,3.2,false
dominos,dominos,"4.2g, Finding SCCs",count the number of SCCs without incoming edge from a vertex outside that SCC; also available at UVa 11504 - Dominos,248,6.2,false
equivalences,equivalences,"4.2g, Finding SCCs",contract input directed graph into SCCs; count SCCs that have in-/out-degrees = 0; report the max,281,5.4,false
reversingroads,reversingroads,"4.2g, Finding SCCs","if #SCC = 1, print 'valid'; or try reversing one of the m directed edges until we either have #SCC = 1, or print 'invali...",640,3.7,false
11831,Fetching from uHunt,"4.2h, Really Ad Hoc",traversal on implicit graph,,0.0,false
12442,Fetching from uHunt,"4.2h, Really Ad Hoc",modified DFS; special graph,,0.0,false
dominoes2,dominoes2,"4.2h, Really Ad Hoc","unlike UVa 11504, we treat SCCs as CCs; also available at UVa 11518 - Dominos 2",599,3.3,false
faultyrobot,faultyrobot,"4.2h, Really Ad Hoc",interesting graph traversal variant; add one more state to each vertex: bug_used,556,3.6,false
lc0841,to replace with LeetCode link soon...,"4.2h, Really Ad Hoc",DFS/BFS from 0; see if all rooms are visited; leetcode-75,0,4.0,false
promotions,promotions,"4.2h, Really Ad Hoc",modified DFS; special graph; DAG; also available at UVa 13015 - Promotions,129,5.5,false
succession,succession,"4.2h, Really Ad Hoc",(upwards) traversal of family DAG; use unordered_maps; make the founder has very large starting blood to avoid fraction,165,3.1,false
11631,Fetching from uHunt,"4.3a, MST, Standard",weight of (all graph edges - all MST edges),,0.0,true
11747,Fetching from uHunt,"4.3a, MST, Standard",sum the edge weights of the chords,,0.0,false
cats,cats,"4.3a, MST, Standard",standard MST,456,4.1,false
islandhopping,islandhopping,"4.3a, MST, Standard",MST on small complete graph,440,3.0,true
lc1584,to replace with LeetCode link soon...,"4.3a, MST, Standard",basic MST problem,0,4.0,false
lostmap,lostmap,"4.3a, MST, Standard",actually just a standard MST problem,782,2.1,true
minspantree,minspantree,"4.3a, MST, Standard",very standard MST problem; check if a spanning tree is formed; also output the edges in any spanning tree in lexicograph...,862,4.0,true
01013,Fetching from uHunt,"4.3b, MST, Variants",LA 2478 - WorldFinals Honolulu02; very interesting MST variant,,0.0,false
01265,Fetching from uHunt,"4.3b, MST, Variants",LA 4848 - Daejeon10; very interesting non-standard variant of 'maximum' spanning tree,,0.0,false
10457,Fetching from uHunt,"4.3b, MST, Variants",interesting MST modeling,,0.0,false
millionairemadness,millionairemadness,"4.3b, MST, Variants",MiniMax path problem,649,2.4,false
muddyhike,muddyhike,"4.3b, MST, Variants",MiniMax path problem,209,3.9,false
naturereserve,naturereserve,"4.3b, MST, Variants",Prim's algorithm from multiple sources,180,4.6,false
10653,Fetching from uHunt,"4.4a, SSSP, BFS, Easier",need efficient BFS implementation,,0.0,false
12160,Fetching from uHunt,"4.4a, SSSP, BFS, Easier",LA 4408 - KualaLumpur08; s: (4-digits number); edges: button pushes; BFS,,0.0,false
buttonbashing,buttonbashing,"4.4a, SSSP, BFS, Easier",very similar to UVa 12160,728,3.4,false
horror,horror,"4.4a, SSSP, BFS, Easier",SSSP from all sources = horror movies; report lowest ID with the highest unweighted SSSP distance,500,3.3,false
11352,Fetching from uHunt,"4.4b, SSSP, BFS, Medium",filter the graph first; then it becomes SSSP,,0.0,false
12826,Fetching from uHunt,"4.4b, SSSP, BFS, Medium",SSSP from (r1; c1) to (r2; c2) avoiding (r3; c3); BFS,,0.0,false
fire2,fire2,"4.4b, SSSP, BFS, Medium",very similar to UVa 11624,395,4.2,false
lc1926,to replace with LeetCode link soon...,"4.4b, SSSP, BFS, Medium",BFS on grid; stop at border (that is not source); leetcode-75,0,4.0,false
lost,lost,"4.4b, SSSP, BFS, Medium",interesting twist of BFS/SSSP spanning tree,269,4.7,false
mallmania,mallmania,"4.4b, SSSP, BFS, Medium",multi-sources BFS from m1; get minimum at border of m2; also available at UVa 11101 - Mall Mania,48,4.9,false
oceancurrents,oceancurrents,"4.4b, SSSP, BFS, Medium",0/1-weighted SSSP; BFS+deque; also available at UVa 11573 - Ocean Currents,118,5.4,false
00439,Fetching from uHunt,"4.4c, Knight Moves, BFS",one BFS per query is enough,,0.0,false
10426,Fetching from uHunt,"4.4c, Knight Moves, BFS","for each knight, do BFS when the monster is sleep/awake; try: one awake the monster, the rest go around",,0.0,false
10477,Fetching from uHunt,"4.4c, Knight Moves, BFS",s: (row; col; knight_state); implicit unweighted graph; different edges per different knight_state,,0.0,false
grasshopper,grasshopper,"4.4c, Knight Moves, BFS",BFS on implicit Knight jump graph,136,4.0,false
hidingplaces,hidingplaces,"4.4c, Knight Moves, BFS","SSSP from (r, c); find cells with max distance; print",607,1.9,false
lc2596,to replace with LeetCode link soon...,"4.4c, Knight Moves, BFS",standard knight tour; BFS; 8 directions,0,4.0,false
01112,Fetching from uHunt,"4.4e, SSSP, Dijkstra, Easier",LA 2425 - SouthwesternEurope01; SDSP,,0.0,false
13127,Fetching from uHunt,"4.4e, SSSP, Dijkstra, Easier",Dijkstra's from multiple sources,,0.0,false
flowerytrails,flowerytrails,"4.4e, SSSP, Dijkstra, Easier",Dijkstra's; record predecessor graph as there can be multiple shortest paths; also available at UVa 12878 - Flowery Trai...,305,3.9,false
shortestpath1,shortestpath1,"4.4e, SSSP, Dijkstra, Easier",very standard Dijkstra's problem,1470,3.5,false
shortestpath2,shortestpath2,"4.4e, SSSP, Dijkstra, Easier",Dijkstra's with modification; edges only available periodically; be careful with P = 0 case,423,3.9,false
texassummers,texassummers,"4.4e, SSSP, Dijkstra, Easier",Dijkstra's; complete weighted graph; print path,97,4.0,false
00589,Fetching from uHunt,"4.4g, SSSP, Dijkstra, Harder",weighted SSSP: move box from s to t + unweighted SSSP: move player to correct position to push the box,,0.0,false
12047,Fetching from uHunt,"4.4g, SSSP, Dijkstra, Harder",clever usage of Dijkstra's; run Dijkstra's from source and from d from destination,,0.0,false
12950,Fetching from uHunt,"4.4g, SSSP, Dijkstra, Harder","clever usage of Dijstra's; instead of extending by one edge, we can extend by two edges at a time",,0.0,false
blockcrusher,blockcrusher,"4.4g, SSSP, Dijkstra, Harder",Dijkstra's from top row to bottom row (or vice versa); print path,257,5.1,false
emptyingbaltic,emptyingbaltic,"4.4g, SSSP, Dijkstra, Harder",Dijkstra's variant; grow spanning tree from drain/source,287,5.4,false
invasion,invasion,"4.4g, SSSP, Dijkstra, Harder",SSSP with multiple and successive sources; multiple calls of Dijkstra's (gets lighter each time if pruned properly),46,4.3,false
visualgo,visualgo,"4.4g, SSSP, Dijkstra, Harder",Dijkstra's produces SSSP spanning DAG if there are multiple shortest paths from s to t; counting paths on DAG,496,3.4,false
00558,Fetching from uHunt,"4.4h, SSSP, Bellman-Ford",check if negative cycle exists,,0.0,false
10449,Fetching from uHunt,"4.4h, SSSP, Bellman-Ford",find the minimum weight path; which may be negative; be careful: INF negative weight is lower than INF,,0.0,false
12768,Fetching from uHunt,"4.4h, SSSP, Bellman-Ford",insert -F as edge weight; see if negative cycle exists; or find min SSSP value from s = 1,,0.0,false
hauntedgraveyard,hauntedgraveyard,"4.4h, SSSP, Bellman-Ford",Bellman-Ford; negative cycle check needed,95,8.2,false
lc0743,to replace with LeetCode link soon...,"4.4h, SSSP, Bellman-Ford",SSSP on a small directed weighted graph,0,4.0,false
shortestpath3,shortestpath3,"4.4h, SSSP, Bellman-Ford",Bellman-Ford; do DFS/BFS from vertices that are part of any negative cycle,524,5.1,false
xyzzy,xyzzy,"4.4h, SSSP, Bellman-Ford",check 'positive' cycle; check connectedness; also available at UVa 10557,152,6.7,false
00821,Fetching from uHunt,"4.5a, APSP, Standard",LA 5221 - WorldFinals Orlando00; one of the easiest ICPC WorldFinals problem,,0.0,false
01247,Fetching from uHunt,"4.5a, APSP, Standard",LA 4524 - Hsinchu09; Floyd-Warshall with modification: prefer shortest path with less intermediate vertices,,0.0,false
10354,Fetching from uHunt,"4.5a, APSP, Standard",find and remove edges involved in boss's shortest paths; re-run shortest paths from home to market,,0.0,false
allpairspath,allpairspath,"4.5a, APSP, Standard",basic Floyd-Warshall; tricky negative cycle checks,772,5.5,false
importspaghetti,importspaghetti,"4.5a, APSP, Standard",smallest cycle; print path by breaking the self-loop into i - other vertex j - i,292,5.1,false
lc1334,to replace with LeetCode link soon...,"4.5a, APSP, Standard",get APSP information using Floyd-Warshall; compute reachability; get the answer,0,4.0,false
transportationplanning,transportationplanning,"4.5a, APSP, Standard","APSP; FW; for each unused edge, use it and see how much distance is reduced; get minimum; O(n^4)",65,3.9,false
01056,Fetching from uHunt,"4.5b, APSP, Variants",LA 3569 - WorldFinals SanAntonio06; finding diameter of a small graph with Floyd-Warshall,,0.0,false
